Keyword;Bed 1
disharmony;"dissonance [n]: discord; chaos; cacophony; noise; harshness"
dishearten;"discourage [v]: perplex; abash; chill; repel; awe; demoralise; demoralize; unnerve"
disheartened;"discouraged [a]: depressed; broken; demoralised; sad"
disheartening;"degrading [a]: spiritless; subservient; debasing; abject; humiliating"
dishevelled;"unkempt [a]: wild; disorderly"
dishonest;"lying [a]: deceitful; double-dealing; devious; cunning; crafty; mendacious; unreliable"
dishonesty;"corruption [n]: bribery; extortion; venality"
dishonourable;"disreputable [a]: base; disgraceful; infamous; notorious; scandalous; shameful"
disillusioned;"antagonistic [a]: estranged; disloyal; unfriendly; discontented; indifferent; disaffected"
deep-seated;"intrinsic [a]: innate; inner; ingrained; inherent; deep-rooted; intimate; inmost"
defamation;"obloquy [n]: aspersion; disgrace; blame; infamy; calumny; censure"
defamatory;"insulting [a]: abusive; derogatory; deprecatory; libellous; slanderous; offensive; injurious"
defame;"slander [v]: libel; smear; slur; vilify; revile; insult; traduce"
defaming;"mean action [n]: meanness; shaming; degrading; cheating; deceiving"
default;"fail [v]: dishonour; repudiate; crash; go bankrupt"
defeated;"lost [a]: forfeited; beaten; vanquished"
defective;"faulty [a]: bad; deficient; damaged; flawed; imperfect; tainted"
defenceless;"naked [a]: dismantled; exposed; open; unarmed; unguarded; unprotected; weak"
discrete;"single [a]: only; particular; different; distinct; dissimilar; diverse"
discretion;"option [n]: choice; selection; course; alternative"
discretionary;arbitrary [a]: optional
discriminating;"cultured [a]: cultivated; artistic; inventive; refined; polished; aesthetic"
discrimination;"distinction [n]: dash; difference; idiosyncrasy; tone"
discuss;"deliberate [v]: confer; argue; consult; debate"
discussion;"controversy [n]: debate; argument; contention; row; quarrel; altercation; rumpus"
disdainful;"haughty [a]: arrogant; cavalier; supercilious; lofty"
disease;"ill [n]: ailment; affliction; disorder; injury; hurt; misery; pain"
diseased;"ill [a]: weak; bad; sick; ailing; bum"
disembark;"alight [v]: get off; descend; deplane; dismount"
dismayed;"horrified [a]: appalled; confounded; astonished; aghast; alarmed; dumbfounded; overwhelmed"
dismemberment;"anatomisation [n]: anatomization; dissection; vivisection; operation"
data;"fact [n]: material; information; figures"
data base;"anthology [n]: collection; catalogue; aggregation; accumulation; compilation"
date back;antedate [v]: misdate
dated;"old-fashioned [a]: antique; antiquated; superannuated; obsolescent; obsolete; old-time"
daub;"smudge [v]: besmear; dab; smear; plaster; bedaub"
deceiving;"fraud [n]: cheating; cunning; concealment; dissimulation; craftiness; deceit; deception"
defendant;suspect [n]: accused
defender;"champion [n]: sponsor; protector; supporter; partisan; ally; backer"
deferential;"prostrate [a]: submissive; docile; subservient; obedient; passive; resigned; accepting"
deferment;"pause [n]: extension; adjournment; demurral; postponement; suspension; delay; moratorium"
defiant;"insolent [a]: impertinent; audacious; brassy; brazen; shameless; bold; forward"
deficiency;"failure [n]: deficit; insufficiency; inadequacy"
deficient;"inadequate [a]: insufficient; incompetent; imperfect; inapt; defective; incomplete"
deficit;"deficiency [n]: failure; insufficiency; inadequacy"
defilement;"mistreatment [n]: indignity; violation; abuse; molestation; seduction; betrayal; profanation"
definitely;"completely [o]: utterly; absolutely; thoroughly; entirely; wholly; unconditionally; certainly"
deflect;"divert [v]: turn; avert; turn aside; redirect"
deform;"get out of shape [v]: contort; melt; warp; buckle; distort; collapse"
deformed;"crooked [a]: distorted; askew; contorted; awry; gnarled; disfigured"
defraud;"do [v]: cheat; swindle; trick"
defray;"pay for [v]: compensate for; counterbalance; cover; offset; suffice"
deft;"proficient [a]: adept; skilled; accomplished; master; skilful; expert; practiced"
deftness;"ability [n]: address; adroitness; art; cleverness; artistry; dexterity"
defunct;"deceased [a]: late; expired; asleep; dead; departed"
degeneration;"decline [n]: ebb; decrease; failure; consumption; ruin; decay; decadence"
degradation;"odium [n]: dishonour; disgrace; shame; obloquy; opprobrium; scandal"
degrading;"abject [a]: spiritless; subservient; debasing; disheartening; humiliating"
dehydrate;"evaporate [v]: desiccate; parch; dry; concentrate"
dehydrated;"thirsty [a]: parched; dry; droughty; desiccated"
deification;"apotheosis [n]: aggrandisement; aggrandizement; exaltation; glorification"
deign;"grant [v]: allow; bestow; show; concede; give in; give up; yield"
dejected;"dispirited [a]: blue; down; depressed; discouraged; disheartened"
dejection;"sadness [n]: unhappiness; depression; despondency; gloom; melancholy; grief; blues"
delayed;"backward [a]: behind; late; slow; tardy"
delectable;"dainty [a]: choice; delicious; tasty; juicy; luscious; palatable; savoury"
delectation;"pleasure [n]: happiness; delight; ecstasy; enjoyment; joy; rapture; transport"
delegation;"entrustment [n]: commission; sending; authorizing; assignment"
delete;"cancel [v]: undo; omit; efface; expunge; obliterate; erase"
deleterious;"detrimental [a]: harmful; injurious; damaging; bad; pernicious"
deletion;"erasure [n]: rubbing out; effacing; scratching out; expunging; obliteration; blotting out; deleting"
deliberately;"voluntarily [o]: willingly; freely; intentionally; frankly"
delimit;"limit [v]: restrict; confine; define; outline; prohibit; demarcate; circumscribe"
delineate;"draw [v]: sketch; outline; design; depict; portray; represent; paint"
delinquency;"fault [n]: culpability; solecism; wrongdoing; indiscretion; impropriety; misdeed; dereliction"
delirium;"aberration [n]: delusion; derangement; hallucination; illusion; insanity"
deliverance;"salvation [n]: pardon; reprieve; liberation; rescue; release; redemption; extrication"
delude;"mislead [v]: betray; deceive; fool; dupe; beguile"
determinant;"element [n]: component; constituent; part; portion; ingredient; factor"
determining;"important [a]: grave; acute; climacteric; great; crucial; deciding; critical"
deterrent;"stay [n]: check; stop; obstruction; arrest; halt; hindrance; interruption"
detest;"disdain [v]: scorn; despise; hate; condemn"
detestable;"insulting [a]: abusive; abhorrent; offensive; nasty; hateful; monstrous; impertinent"
dethrone;"unseat [v]: depose; dislodge; overthrow; fire; dismiss; can; oust"
detonate;"shoot [v]: discharge; blast; fire; set off"
detonation;"explosion [n]: burst; blast; discharge; outbreak; outburst; eruption"
detraction;"insult [n]: affront; aspersion; abuse; censure; condemnation; defamation"
detriment;"loss [n]: damage; wreckage; disadvantage; waste; impairment; spoil; breakage"
detrimental;"bad [a]: harmful; injurious; damaging; deleterious; pernicious"
devalue;"reduce [v]: decrease; diminish; lessen; depreciate; lower; shave"
devastate;"despoil [v]: waste; pillage; plunder; ravage; ruin; lay waste; desolate"
devastating;"immoderate [a]: exhausting; consuming; harmful; wasteful"
devastation;"waste [n]: ruin; decay; spoliation; decline; loss; diminution; dissipation"
developing;"becoming different [a]: changing; growing; shrinking"
deviating;"deviate [a]: aberrant; devious; divergent; errant; erring; straying"
devilish;"cruel [a]: diabolical; fiendish; satanic"
devoid;"empty [a]: barren; destitute; vacant; void; abandoned; unfilled; unoccupied"
devote;"apply [v]: persevere; dedicate; work at; prescribe; allot; appropriate; assign"
devotee;"addict [n]: fan; buff; follower; lover"
devotional;"religious [a]: sacred; divine; hallowed; reverential; holy; ritual; solemn"
devour;"gorge [v]: gulp; bolt"
devoutness;"piety [n]: grace; devotion; homage; faith; religion; godliness; sanctity"
dexterity;"ability [n]: deftness; adroitness; art; cleverness; artistry; address"
dexterous;"adroit [a]: deft; clean; adept"
diabolical;"devilish [a]: cruel; fiendish; satanic"
diagnostic;"set of symptoms [n]: concurrence of symptoms; complex; syndrome; evidence; manifestation; disease; affliction"
diagram;"drawing [n]: outline; chart; blueprint; plan; draft; map; representation"
dialogue;"speech [n]: talk; discourse; chat; conversation"
diameter;"distance [n]: stretch; extent; span; reach; range; measure; length"
diaphanous;"clear [a]: translucent; vitreous; pellucid; transparent; crystalline; cellophane"
diatribe;"tirade [n]: harangue; malediction"
dice;"cut up [v]: chop; divide; slice; mince; cube; mangle; hash"
dictatorship;"persecution [n]: cruelty; hardness; despotism; domination; injustice; coercion; oppression"
dictionary;"source [n]: guidebook; informant; reference; encyclopedia; thesaurus; footnote; evidence"
dabble;"trifle [v]: jest; toy; wet; splash"
dad;"father [n]: daddy; governor; old man; pa; papa; pappy; pop"
daddy;"dad [n]: father; governor; old man; pa; papa; pappy; pop"
daft;"insane [a]: wild; crazy; cracked; touched; crazed; demented; deranged"
dagger;"cutting tool [n]: blade; butcher; knife; cutting edge; scalpel; machete"
daily;"frequency [o]: every day; frequently; always; regularly; all the time"
dais;"throne [n]: bench; chair"
damages;"reimbursement [n]: reparation; indemnity; settlement; compensation; indemnification; restitution"
damaging;"detrimental [a]: harmful; injurious; bad; deleterious; pernicious"
damper;"barrier [n]: stop; arrest; obstacle; obstruction; check; impediment; hindrance"
dampness;"moisture [n]: damp; dankness; fog; humidity; steam; vapour; wetness"
dandy;"swell [n]: blade; buck; fop; coxcomb"
deadlock;"stand-off [n]: draw; dead heat; stalemate; tie"
deal out;"apportion [v]: allot; parcel out; mete out; give out; dispense; distribute"
deal with;"set to work [v]: tackle; plunge into; attack; take up; affect"
dearth;"scarcity [n]: lack; deficiency; insufficiency; want; meagreness; inadequacy; scantiness"
deathlike;"wan [a]: pallid; sickly; anemic; bloodless; cadaverous; haggard; pale"
debacle;"downfall [n]: reverse; failure; beating; ruin; overthrow; disappointment; defeat"
debasing;"degrading [a]: spiritless; subservient; abject; disheartening; humiliating"
debatable;"open [a]: controversial; disputable; questionable; undecided; uncertain; undetermined; unsettled"
debauched;"immoral [a]: corrupt; abandoned; libertine; base; lost; debased; lubricious"
debilitate;"exhaust [v]: cripple; weary; sap; enervate; fatigue; prostrate; wear out"
debility;"fragility [n]: delicacy; frailty; tenderness; subtlety"
debit;"finance [n]: debt; liability; arrears; balance; arrearage; account; remainder; pledge"
debrief;"reveal [v]: divulge; disclose; tip-off; spill; brief; notify"
debris;"rubbish [n]: trash; garbage; refuse; waste; litter; fragments"
decadence;"decline [n]: ebb; decrease; failure; consumption; ruin; degeneration; decay"
decamp;"flee [v]: abscond; break; escape; fly; run away"
decayed;"rotten [a]: putrid; fetid; rank; foul; putrescent"
decaying;"declining [a]: disappearing; disintegrating; dying; ebbing; fading; vanishing"
decease;"expire [n]: die; go; cash in; depart"
deceased;"dead [a]: late; expired; asleep; defunct; departed"
deceive;"cheat [v]: betray; trick; hoodwink; dupe; beguile; delude; bamboozle"
deceiver;"impostor [n]: charlatan; cheat; humbug; swindler; pretender; confidence man; quack"
delusive;"false [a]: artful; deceitful; hypocritical; beguiling; deceiving; plausible; deceptive"
delve;"shovel [v]: dig; mine; excavate; channel; grub; burrow; dig out"
demagogue;politician [n]: manipulator
demarcate;"limit [v]: restrict; confine; hinder; define; restrain; circumscribe"
demeanour;"poise [n]: address; bearing; manner; appearance; behaviour"
demented;"insane [a]: deranged; lunatic; psychotic; crazy; mad; maniacal; unsound"
demilitarise;"disarm [v]: demilitarize; neutralise; neutralize; subjugate"
demilitarize;"demilitarise [v]: disarm; neutralise; neutralize; subjugate"
demobilise;"deprive of weapons [v]: disable; subdue; debilitate; incapacitate; disarm; demobilize"
demobilize;"deprive of weapons [v]: disable; subdue; debilitate; incapacitate; demobilise; disarm"
demolish;"destroy [v]: dissolve; consume; atomise; atomize; mangle; dash; obliterate; unmake"
demolition;"destruction [n]: devastation; ruin; desolation; wreck; breakdown"
demonstrator;"objector [n]: disputant; heretic; nonconformist; rebel; dissenter; radical"
demote;"reduce [v]: depress; break; bump; lessen; cashier; bust; degrade"
denigrate;"disparage [v]: deprecate; decry; ridicule; lower; belittle"
denominate;"designate [v]: dignify; classify; enumerate; identify; characterise; characterize; acclaim; indicate"
denotation;"significance [n]: meaning; sense; connotation; import; signification"
denote;"show [v]: indicate; mark; connote; say; register; record; read"
denouement;"resolving [n]: solution; answering; outcome; resolution; issue; end result; explanation"
denude;"reveal [v]: show; expose; undress; strip; disrobe; uncover; lay open"
dependable;"reliable [a]: faithful; true; trustworthy; trusty"
dependency;"colonial state [n]: territory; settlement; protectorate; colony"
depend upon;"affect [v]: relate to; pertain to; concern; implicate; apply to; include; belong to"
depict;"picture [v]: delineate; describe; draw; imagine; paint; represent"
depiction;"behaving [n]: dramatizing; performing; pantomime; acting; dramatic performance"
deplane;"disembark [v]: get off; descend; alight; dismount"
deplete;"drain [v]: exhaust; empty; weary; sap; tax"
deplorable;"unfortunate [a]: lamentable; woeful; grievous; distressing; dire; calamitous; sad"
deplore;"mourn [v]: grieve; bemoan; bewail; lament; weep"
deploy;"assemble [v]: arrange; line up; marshal; organise; organize; order; array; muster"
depopulate;"abandon [v]: desert; forsake; desolate"
deport;"banish [v]: cast out; exile; expatriate; ostracise; ostracize; expel; ban; drive out"
deportment;"behaviour [n]: action; manners; response; comportment; performance; demeanour; actions"
depose;"unseat [v]: oust; dislodge; overthrow; fire; dismiss; can; dethrone"
deprave;"corrupt [v]: degrade; degenerate; debauch; deteriorate"
depraved;"evil [a]: nefarious; vile; wretched; low; base; bad; vicious"
depreciation;"detraction [n]: aspersion; disparagement; debasement; lie; degradation"
depreciative;"derogatory [a]: derogative; disparaging; opprobrious; debasing; vituperative"
depredation;"pillage [n]: plunder; ravage; plundering; rapine; robbery; spoliation; theft"
depressing;"agonizing [a]: painful; distressing; disturbing; excruciating; tormenting; saddening"
deprivation;"loss [n]: forfeiture; damage; hurt; forfeit; detriment; cost; pain"
deprive;"strip [v]: bankrupt; dispossess; withhold; divest; dismantle; bare; denude"
depute;"appoint [v]: commission; authorise; authorize; deputise; deputize; delegate; entrust; name"
deputize;"entrust [v]: endow; empower; invest; charge; promote; delegate; deputise; commission"
deputy;"administrative officer [n]: chief; constable; marshal; sheriff; police officer; stand in"
deranged;"insane [a]: lunatic; demented; psychotic; crazy; mad; maniacal; unsound"
derangement;"delirium [n]: delusion; aberration; hallucination; illusion; insanity"
deride;"jeer [v]: scoff; gibe; jest; quip"
derision;"scorn [n]: mockery; scoff; sneer"
derivation;"origin [n]: beginning; inception; source; cause; root; root-stock; whence"
dermatitis;"rash [n]: efflorescence; eruption; breakout; skin irritation"
derogatory;"opprobrious [a]: derogative; disparaging; depreciative; debasing; vituperative"
derrick;"lift [n]: crane; hoist"
descendant;"scion [n]: successor; heir; offspring; child; posterity"
descendants;"product [n]: offspring; brood; fruit; progeny; children; consequence; issue"
descending;"falling [a]: descent; degradation; plunge; downfall; collapse; sinking"
describe;"outline [v]: inform; summarise; summarize; recapitulate"
descriptive;"exact [a]: meticulous; careful; painstaking; circumstantial; critical; particular; detailed"
desecrate;"defile [v]: debase; despoil; befoul; profane; scorn; misuse; blaspheme"
desecration;"offence [n]: corruption; crime; misuse; injustice; misapplication; abuse"
desensitise;"dull [v]: soften; blunt; desensitize; deaden; diminish; numb; paralyse"
desensitize;"dull [v]: soften; desensitise; blunt; deaden; diminish; numb; paralyse"
deserted;"desolate [a]: gaunt; alone; forsaken; stark; lone; lonely"
deserter;"coward [n]: craven; dastard; apostate; traitor; recreant; renegade"
deserve;"merit [v]: bear; warrant; be worthy of; invite"
deserved;"lawful [a]: legal; legitimate; appropriate; apt; due; rightful; just"
deserving;"worthy [a]: good; honourable; immaculate; unblemished; unsullied; fair"
desiccated;"dry [a]: parched; arid; droughty; desert; dried; dusty"
designer;"artisan [n]: artist; adept; craftsman; craftswoman; worker; inventor; contriver; artificer"
desirability;"worth [a]: importance; merit; calibre; account; value; benefit; eminence"
desirous;"ambitious [a]: hopeful; yearning; eager; energetic; hankering; hungry; inspired"
despair;"sorrow [n]: depression; despondency; gloom; dejection; melancholy; misery; trouble"
despairing;"pessimistic [a]: cynical; morbid; dark; morose; foreboding; sullen; gloomy"
despicable;"worthless [a]: abject; bad; contemptible; miserable; low; mean; wretched"
despise;"disdain [v]: detest; scorn; hate; condemn"
despite;"aside [o]: notwithstanding; however; albeit"
despoil;"plunder [v]: ransack; forage; devastate; fleece; lay waste; pillage; rape"
despondency;"sadness [n]: unhappiness; depression; melancholy; gloom; dejection; grief; blues"
disapproving;"annoyed [a]: offended; cool; disenchanted"
disarrange;"lose [v]: dislocate; mislay; misplace; move; displace"
disarrangement;"clutter [n]: confusion; derangement; disorder; disarray; irregularity; disorganisation; disorganization"
disarray;"jumble [v]: disorder; blur; snarl; entangle; mess up; obfuscate; confuse"
disaster;"evil [n]: calamity; harm; mischief; misery; misfortune; pain; sorrow; catastrophe"
disastrous;"unfortunate [a]: evil; ill; miserable; terrible; awful"
disavow;"reject [v]: abjure; deny; renounce"
disavowal;"contradiction [n]: denial; refutation; negation; rejection"
disbelief;"distrust [n]: hazard; doubt; problem; faltering; quandary; hesitancy; hesitation"
disbelieve;"doubt [v]: distrust; suspect; mistrust"
disburse;"compensate [v]: refund; guerdon; indemnify; requite; recompense; pay; reimburse"
discard;"reject [v]: eliminate; jettison; throw away; exclude"
discernible;"visible [a]: observable; understandable; macroscopic; perceivable; noticeable"
discerning;"rational [a]: discriminating; discreet; prudent; collected; circumspect; perspicacious; enlightened"
doodle;"sketch [n]: likeness; representation; picture; depiction; work of art; drawing"
doomed;"marked [a]: condemned; fated"
door;"thing [n]: entry; entrance; opening; doorway; gate; inlet; passage; portal"
doorknob;"handgrip [n]: handhold; crank; holder; hilt; knob; handle"
doormat;"covering [n]: floor covering; mat; pad; rug"
doorway;"entry [n]: door; opening; entrance; gate; inlet; passage; portal"
dried;"dry [a]: parched; desiccated; droughty; desert; arid; dusty"
drifting;"aimless [a]: stray; wandering; erratic; haphazard; rambling; wayward; careless"
drilling;"training [n]: discipline; drill; practice; schooling; exercise"
drinkable;"fresh [a]: potable; clear; pure; clean; sweet; safe"
drip;"leak [v]: escape; ooze; drool; flow; come out; transpire"
drive away;"expel [v]: dismiss; banish; exclude; isolate; put away; discharge"
drivel;"jabber [n]: chatter; gibberish; nonsense; twaddle; babble; patter; chit-chat"
drive out;"banish [v]: cast out; deport; expatriate; ostracise; ostracize; expel; ban; exile"
driving;"active [a]: lissome; vital; energetic; lively; forcible; enterprising; mercurial"
drizzle;"mist [n]: shower; spray; fog; effervescence; fizz; spatter; splash"
drone;"animal [n]: bee; idler; insect"
droop;"slouch [v]: slump; sag; stoop; hunch; hang; fall heavily; go slack"
drooping;"feeble [a]: frail; faint; fragile; faltering; languid; weak"
drop down;"flop [v]: drop; slump; fall heavily; tumble; stumble; droop"
droplet;"drop [n]: dot; grain; pellet; particle; bead"
drop off;"drowse [v]: nap; slumber; doze"
dropout;"pariah [n]: untouchable; outcast; castaway"
drought;"lack of moisture [n]: dryness; aridity; thirst"
drove;"throng [n]: gang; company; concourse; crowd; gathering; herd; flock"
drowse;"nap [v]: doze; slumber"
drowsiness;"lethargy [n]: languor; lassitude; fatigue; tiredness; weariness; faintness"
drub;"beat [v]: thrash; whip; trim; lick; pummel; clobber"
defector;"fugitive [n]: delinquent; deserter; truant; law-breaker; runaway"
defined;"definite [a]: tangible; positive; circumscribed; unerring; accurate; limited; determined"
deflower;"debauch [v]: defile; corrupt; seduce; violate; rape; pervert; prostitute"
delaying;"wait [n]: hesitation; lag; dawdling; delay; loitering; procrastination; stay"
delicately;"mildly [o]: cautiously; carefully; gently; smoothly; quietly; sensitively"
demands;"claim [n]: warning; command; proposition; proposal; requirements; mandate; ultimatum"
demean;"pervert [v]: degrade; debase; corrupt; debauch; deprave; lower; canker"
demesne;"province [n]: range; scope; domain; jurisdiction; dominion; field"
denigration;"slander [n]: smear; defamation; libel; vilification; calumny; lie"
depravity;"evil [n]: vice; badness; crime; malfeasance; baseness; malignancy; turpitude"
deprecatory;"insulting [a]: abusive; derogatory; injurious; libellous; slanderous; offensive; defamatory"
desist;"cease [v]: end; stop; finish; quit; surrender; withdraw; relinquish"
deter;"delay [v]: block; retard; stay; detain; stop; check; inhibit"
deterrence;"restriction [n]: obstruction; deprivation; hindrance; arrest; control; frailty; limitation"
detestation;"dislike [n]: antipathy; aversion; disgust; dissatisfaction; repugnance"
devaluate;"adulterate [v]: profane; cheapen; pervert; shame; debase; befoul"
devastated;"feeling [a]: depressed; shattered; broken hearted; sad; discouraged; troubled"
devouring;"gluttonous [a]: greedy; ravenous; voracious; starved; carnivorous; insatiable; omnivorous"
diametrical;"facing [a]: abreast; fronting; contrasting; against; retrograde; opposing; opposite"
dicker;"bargain [n/v]: haggle; buy and sell; barter; treat; negotiate; trade; merchandise"
diction;"language [n]: phraseology; speech; lingo; expression; slang; jargon; style"
die-hard;"champion of the status quo [n]: reactionary; conservative; traditionalist; conventionalist"
diluted;"dispersed [a]: diffuse; widely separated; scattered; sparse"
dweller;"inhabitant [n]: denizen; native; occupant; resident; citizen"
dolour;"grief [n]: sorrow; anguish; heartache; distress; mourning; sadness"
dolourous;"grief [a]: sorrowing; grieving; painful; distressing; mourning; dismal; doleful"
diabolic;"devilish [a]: fiendish; malevolent; impious; demonic; wicked"
dimensions;"measurements [n]: size; extent; height; length; proportions; width"
discolor;"stain [v]: streak; rust; sully; colour; color [US]; fade; bleach; dirty; tarnish; smear"
discoloration;"blemish [n]: blot; stain; blotch; bleaching; splotch; streaking; tarnishing"
discompose;"perturb [v]: upset; ruffle; embarrass; bother; vex"
discomposure;"disturbance [n]: agitation; confusion; discomfiture; annoyance; embarrassment; uneasiness"
disfavor;"displeasure [n]: dissatisfaction; disapproval; disapprobation; dislike; aversion; disrespect; dishonour; dishonor [US]; disrepute; disgrace; disregard; enmity"
disheveled;"rumpled [a]: untidy; disordered; unkempt; disarrayed; tousled; dirty; dingy"
dishonor;"disgrace [n]: ignominy; shame; abasement; desecration; disrepute"
dishonorable;"disgraceful [a]: foul; disreputable; base; ignominious; crooked; infamous; false; low; fraudulent; opprobrious; ignoble; underhanded; shameful; shameless"
disjoin;"separate [v]: detach; disconnect; disunite; divide; disjoint"
disjoint;"dismember [v]: cut up; carve; sever; sunder; disjoin; cut apart; separate; divide"
dismissed;"discharged [a]: sent away; sent home; ousted; suspended; removed; adjourned; free"
disquisition;"study [n]: dissertation; commentary; thesis; explanation"
distill;"vaporize and condense [v]: evaporate; draw out; volatilize; precipitate; steam; extract; give forth in drops; infuse; purify; press; concentrate"
dollar;"federal reserve note [n]: money; bank note; currency; legal tender; coin; dollar bill; silver dollar; Canadian dollar; Australian dollar; folding money; buck; greenback"
dolor;"grief [n]: sorrow; anguish; heartache; distress; mourning; sadness"
dolorous;"grief [a]: sorrowing; grieving; painful; distressing; mournful; dismal; doleful"
done for;"beaten [a]: conquered; defeated; vanquished"
done with;"finished with [a]: no longer in need of; finished; no longer needing; dispatched"
doodad;"gadget [n]: dingus [US]; doohickey [US]; gizmo; jigger [US]; thingamajig; thingamabob"
down in the dumps;"feeling depressed or dejected [n]: being depressed; feeling despondent; feeling gloomy; desperation; despairing; sadness"
drapes;"window covering [n]: drapery; curtains; hanging; portiere"
dray;"cart [n]: hand truck; wagon; van; dolly; barrow; vehicle"
dude;"city slicker [n]: dandy; greenhorn; novice; fop; beau; asphalt cowboy [US]; exquisite [US]"
dame;"widow [n]: matron; dowager; lady; woman; matriarch"
dangling;"suspended [a]: hanging; swinging; overhanging"
dapper;"dashing [a]: jaunty; smart; chic; romantic; gallant"
dapple;"spot [v]: speck; fleck; dot; streak"
daydreamer;dreamer [n]: romanticist
dead heat;"tie [n]: draw; stalemate; stand-off"
deceived;"cheated [a]: betrayed; tricked; duped; hoodwinked; burned"
decollate;"decapitate [v]: behead; guillotine; execute; kill"
deface;"stain [v]: mar; blotch; sully; blot; spot; smudge"
defending;"arming [a]: fortification; fortifying"
deftly;"cleverly [o]: adroitly; agilely"
demise;"death [n]: extinction; dissolution; release; slaughter"
denuded;"dispossessed [a]: lost; ruined; forfeited"
depend;"cling [v]: adhere; hang; rely; rest"
derived;"used [a]: second-hand; old; worn"
designed;"made [a]: composed; written; created; combined"
desired;"wanted [a]: popular; coveted; in demand; needed"
developed;"grown [a]: cultivated; raised; made"
dickey;"neck band [n]: ruff; frill; collar"
diner;"lodger [n]: boarder; patron"
dint;"dent [n]: notch; scrape; scratch; indentation; nick; jag"
directed;"aimed [a]: pointed; explicit; marked; personal"
disband;"disperse [v]: dissolve; disappear; vanish"
dispensary;"hospital [n]: sick bay; clinic"
dispossessed;"loser [a/n]: denuded; ruined; forfeited"
distention;"swell [n]: inflation; swelling"
driblet;"droplet [n]: globule; drop"
drumbeat;sound [n]: ruffle [US]
drying;"parching [a]: searing; withering; burning"
dullard;"dunce [n]: blockhead; dolt; idiot; simpleton; block"
dunce;"fool [n]: blockhead; booby; dolt; idiot; ignoramus"
defenseless;"without protection [a]: open; poor; weak; indefensible"
degraded;"debased [a]: disgraced; humiliated; depraved; wicked"
deluxe;"luxurious [a]: fine; elegant; splendid; classy; grand; first class; with all the trimmings"
demeanor;"attitude [n]: disposition; behaviour; behavior [US]; comportment; conduct; deportment"
depleted;"exhausted [a]: used up; consumed; bereft of; almost sold out; devoid of; drained; emptied; short of; wasted; denuded of; destitute of; reduced; running out; out of"
dappled;"multi-coloured [a]: prismatic; kaleidoscopic; mottled; motley; varicoloured; variegated"
dastardly;"cowardly [a]: craven; pusillanimous; recreant; faint-hearted"
dawning;"initial [a/n]: primary; first; basic; elementary; introductory; rudimentary; beginning"
deadlocked;"unresolved [a]: pending; tentative; indeterminate; uncertain; hanging"
dealing;"business [n]: trading; communion; commerce; marketing; dealings; exchange; interchange"
dearest;"loved [a]: beloved; cherished; adored; precious; revered; worshiped"
deathly;"lethal [a]: malignant; virulent; fatal; deadly; pestilent; mortal"
debasement;"loss [n]: detriment; wreckage; disadvantage; waste; impairment; spoil; breakage"
debauch;"seduce [v]: defile; corrupt; deflower; violate; rape; pervert; prostitute"
deciding;"important [a]: grave; acute; climacteric; great; crucial; critical; determining"
decrepit;"worn [a]: ragged; shabby; dilapidated; deteriorated; decayed; faded; dingy"
distillation;"essence [n]: argument; condensation; core; abstract; heart; idea; substance"
distinguishable;"perceptible [a]: apparent; discernible; open; visible; manifest"
divertissement;"spectacular [n]: extravagant show; fantasy; lavish event; extravaganza; fling"
divisional;"district [a]: local; county; community; ward; provincial; immediate; rural"
do in;"murder [v]: kill; assassinate; dispatch; annihilate; liquidate; execute; knock off"
dogmatism;"prejudice [n]: narrow-mindedness; intolerance; bigotry; racism; injustice"
dogmatist;"bigot [n]: zealot; monomaniac; diehard; doctrinaire; enthusiast"
doldrums;"dullness [n]: indifference; apathy; monotony; ennui; boredom; listlessness"
doughy;"colourless [a]: ashen; bleached; blanched; pale; pallid; wan"
dour;"austere [a]: severe; stern; bleak; grim; forbidding; hard; harsh"
dressed;"ready [a]: prepared; ready to go; set; in order; arranged; fixed; equipped"
dripping;"very wet [a]: wet; soppy; drenched; soaked; sopping; drizzling"
drugged;"out cold [a]: unconscious; comatose; oblivious; anaesthetised; insensible; unperceiving"
dumping;"discarding [n]: dispatch; disposition; transference; disposal; transfer; jettison; sale"
duplicated;"twice as much [a]: double; paired; second; twofold; two; twin"
dander;"wrath [n]: temper; anger; animosity"
debased;"debauched [a]: corrupted; degraded; base; depraved; perverted; vitiated"
debunk;"expose falsehood [v]: expose; demystify; denounce; ridicule; discredit; deflate"
declaring;"saying [a]: noting; remarking; asserting; reporting; stating"
defended;"guarded [a]: safeguarded; protected; shielded; safe"
duds;"clothes [n]: garments; apparel; gear; attire; garb"
dues;"contribution [n]: tax; obligation; levy; assessment; membership fee; toll; initiation dues; annual dues; collection; lodge dues; pay; duty"
dugout;"cave [n]: cellar; burrow; hole; den; fox hole; bunker"
